correct_response,stimulus,fixation,fixation_duration,n1,n2,ratio
j,img/dots_10_15.png,"<div style=""font-size:60px;"">+</div>",550,10,15,0.666666666666667
j,img/dots_10_20.png,"<div style=""font-size:60px;"">+</div>",850,10,20,0.5
j,img/dots_10_25.png,"<div style=""font-size:60px;"">+</div>",850,10,25,0.4
j,img/dots_10_30.png,"<div style=""font-size:60px;"">+</div>",850,10,30,0.333333333333333
f,img/dots_15_10.png,"<div style=""font-size:60px;"">+</div>",750,15,10,1.5
j,img/dots_15_20.png,"<div style=""font-size:60px;"">+</div>",550,15,20,0.75
j,img/dots_15_25.png,"<div style=""font-size:60px;"">+</div>",850,15,25,0.6
j,img/dots_15_30.png,"<div style=""font-size:60px;"">+</div>",450,15,30,0.5
f,img/dots_20_10.png,"<div style=""font-size:60px;"">+</div>",350,20,10,2
f,img/dots_20_15.png,"<div style=""font-size:60px;"">+</div>",650,20,15,1.33333333333333
j,img/dots_20_25.png,"<div style=""font-size:60px;"">+</div>",350,20,25,0.8
j,img/dots_20_30.png,"<div style=""font-size:60px;"">+</div>",550,20,30,0.666666666666667
f,img/dots_25_10.png,"<div style=""font-size:60px;"">+</div>",750,25,10,2.5
f,img/dots_25_15.png,"<div style=""font-size:60px;"">+</div>",850,25,15,1.66666666666667
f,img/dots_25_20.png,"<div style=""font-size:60px;"">+</div>",650,25,20,1.25
j,img/dots_25_30.png,"<div style=""font-size:60px;"">+</div>",950,25,30,0.833333333333333
f,img/dots_30_10.png,"<div style=""font-size:60px;"">+</div>",950,30,10,3
f,img/dots_30_15.png,"<div style=""font-size:60px;"">+</div>",450,30,15,2
f,img/dots_30_20.png,"<div style=""font-size:60px;"">+</div>",750,30,20,1.5
f,img/dots_30_25.png,"<div style=""font-size:60px;"">+</div>",250,30,25,1.2
j,img/dots_10_15.png,"<div style=""font-size:60px;"">+</div>",550,10,15,0.666666666666667
j,img/dots_10_20.png,"<div style=""font-size:60px;"">+</div>",850,10,20,0.5
j,img/dots_10_25.png,"<div style=""font-size:60px;"">+</div>",850,10,25,0.4
j,img/dots_10_30.png,"<div style=""font-size:60px;"">+</div>",850,10,30,0.333333333333333
f,img/dots_15_10.png,"<div style=""font-size:60px;"">+</div>",750,15,10,1.5
j,img/dots_15_20.png,"<div style=""font-size:60px;"">+</div>",550,15,20,0.75
j,img/dots_15_25.png,"<div style=""font-size:60px;"">+</div>",850,15,25,0.6
j,img/dots_15_30.png,"<div style=""font-size:60px;"">+</div>",450,15,30,0.5
f,img/dots_20_10.png,"<div style=""font-size:60px;"">+</div>",350,20,10,2
f,img/dots_20_15.png,"<div style=""font-size:60px;"">+</div>",650,20,15,1.33333333333333
j,img/dots_20_25.png,"<div style=""font-size:60px;"">+</div>",350,20,25,0.8
j,img/dots_20_30.png,"<div style=""font-size:60px;"">+</div>",550,20,30,0.666666666666667
f,img/dots_25_10.png,"<div style=""font-size:60px;"">+</div>",750,25,10,2.5
f,img/dots_25_15.png,"<div style=""font-size:60px;"">+</div>",850,25,15,1.66666666666667
f,img/dots_25_20.png,"<div style=""font-size:60px;"">+</div>",650,25,20,1.25
j,img/dots_25_30.png,"<div style=""font-size:60px;"">+</div>",950,25,30,0.833333333333333
f,img/dots_30_10.png,"<div style=""font-size:60px;"">+</div>",950,30,10,3
f,img/dots_30_15.png,"<div style=""font-size:60px;"">+</div>",450,30,15,2
f,img/dots_30_20.png,"<div style=""font-size:60px;"">+</div>",750,30,20,1.5
f,img/dots_30_25.png,"<div style=""font-size:60px;"">+</div>",250,30,25,1.2
j,img/dots_10_15.png,"<div style=""font-size:60px;"">+</div>",550,10,15,0.666666666666667
j,img/dots_10_20.png,"<div style=""font-size:60px;"">+</div>",850,10,20,0.5
j,img/dots_10_25.png,"<div style=""font-size:60px;"">+</div>",850,10,25,0.4
j,img/dots_10_30.png,"<div style=""font-size:60px;"">+</div>",850,10,30,0.333333333333333
f,img/dots_15_10.png,"<div style=""font-size:60px;"">+</div>",750,15,10,1.5
j,img/dots_15_20.png,"<div style=""font-size:60px;"">+</div>",550,15,20,0.75
j,img/dots_15_25.png,"<div style=""font-size:60px;"">+</div>",850,15,25,0.6
j,img/dots_15_30.png,"<div style=""font-size:60px;"">+</div>",450,15,30,0.5
f,img/dots_20_10.png,"<div style=""font-size:60px;"">+</div>",350,20,10,2
f,img/dots_20_15.png,"<div style=""font-size:60px;"">+</div>",650,20,15,1.33333333333333
j,img/dots_20_25.png,"<div style=""font-size:60px;"">+</div>",350,20,25,0.8
j,img/dots_20_30.png,"<div style=""font-size:60px;"">+</div>",550,20,30,0.666666666666667
f,img/dots_25_10.png,"<div style=""font-size:60px;"">+</div>",750,25,10,2.5
f,img/dots_25_15.png,"<div style=""font-size:60px;"">+</div>",850,25,15,1.66666666666667
f,img/dots_25_20.png,"<div style=""font-size:60px;"">+</div>",650,25,20,1.25
j,img/dots_25_30.png,"<div style=""font-size:60px;"">+</div>",950,25,30,0.833333333333333
f,img/dots_30_10.png,"<div style=""font-size:60px;"">+</div>",950,30,10,3
f,img/dots_30_15.png,"<div style=""font-size:60px;"">+</div>",450,30,15,2
f,img/dots_30_20.png,"<div style=""font-size:60px;"">+</div>",750,30,20,1.5
f,img/dots_30_25.png,"<div style=""font-size:60px;"">+</div>",250,30,25,1.2
j,img/dots_10_15.png,"<div style=""font-size:60px;"">+</div>",550,10,15,0.666666666666667
j,img/dots_10_20.png,"<div style=""font-size:60px;"">+</div>",850,10,20,0.5
j,img/dots_10_25.png,"<div style=""font-size:60px;"">+</div>",850,10,25,0.4
j,img/dots_10_30.png,"<div style=""font-size:60px;"">+</div>",850,10,30,0.333333333333333
f,img/dots_15_10.png,"<div style=""font-size:60px;"">+</div>",750,15,10,1.5
j,img/dots_15_20.png,"<div style=""font-size:60px;"">+</div>",550,15,20,0.75
j,img/dots_15_25.png,"<div style=""font-size:60px;"">+</div>",850,15,25,0.6
j,img/dots_15_30.png,"<div style=""font-size:60px;"">+</div>",450,15,30,0.5
